,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
90,홍기영내과의원,6,0,0,1.0km,경기 군포시,15:22:48,2021-08-09
91,김현철내과,8,1,0,2.9km,경기 군포시 고산로 248,15:23:50,2021-08-09
92,김현철내과,8,0,0,2.9km,경기 군포시 고산로 248,15:23:55,2021-08-09
93,김현철내과,7,0,0,2.9km,경기 군포시 고산로 248,15:25:05,2021-08-09
94,김영우마취통증의학과의원,2,0,0,2.3km,경기 안양시 만안구 안양로 97,15:33:02,2021-08-09
95,준내과의원,7,0,0,2.9km,경기 군포시,15:37:43,2021-08-09
96,김현철내과,6,0,0,2.9km,경기 군포시 고산로 248,15:43:20,2021-08-09
97,국제나은병원,2,0,0,3.1km,경기 안양시 만안구,15:46:18,2021-08-09
98,두리이비인후과의원,8,0,0,730m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,15:46:44,2021-08-09
99,국제나은병원,1,0,0,3.1km,경기 안양시 만안구,15:47:11,2021-08-09
100,늘푸른소아과의원,7,0,0,2.6km,경기 군포시 군포로 494,16:14:41,2021-08-09
101,장성원이비인후과의원,6,0,0,1.1km,경기 군포시,16:14:41,2021-08-09
102,연세속시원의원,5,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:14:41,2021-08-09
103,코앤이비인후과의원,6,0,0,2.4km,경기 안양시 만안구,16:18:25,2021-08-09
104,연세속시원의원,4,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:19:48,2021-08-09
105,김성수아르코이비인후과의원,1,0,0,3.2km,경기 안양시 동안구,16:29:50,2021-08-09
106,연세속시원의원,3,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:34:56,2021-08-09
107,고려가정의학과의원,0,2,0,2.4km,경기 군포시,16:57:16,2021-08-09
108,장이비인후과의원,1,0,0,2.5km,경기 군포시,16:59:15,2021-08-09
109,연세우리소아과의원,3,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,17:18:59,2021-08-09
110,연세속시원의원,2,0,0,1.3km,경기 군포시 번영로 502 역사상가,17:20:29,2021-08-09
111,늘푸른소아과의원,6,0,0,2.6km,경기 군포시 군포로 494,17:41:09,2021-08-09
112,늘푸른소아과의원,5,0,0,2.6km,경기 군포시 군포로 494,18:03:18,2021-08-09
