,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,금정성심의원,6,0,0,2.0km,경기 군포시,9:16:49,2021-08-11
1,현대중앙의원,0,1,0,800m,경기 군포시,9:30:07,2021-08-11
2,고려연합의원,6,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:34:20,2021-08-11
3,고려연합의원,4,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:36:41,2021-08-11
4,참이비인후과의원,0,3,0,1.5km,경기 군포시,9:44:05,2021-08-11
5,고려연합의원,3,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:44:05,2021-08-11
6,홍기영내과의원,10,0,0,1.0km,경기 군포시,10:06:32,2021-08-11
7,금정성심의원,5,0,0,2.0km,경기 군포시,10:06:32,2021-08-11
8,산본외과,11,4,0,1.7km,경기 군포시,10:08:55,2021-08-11
9,산본외과,11,0,0,1.7km,경기 군포시,10:09:01,2021-08-11
10,홍기영내과의원,9,0,0,1.0km,경기 군포시,10:11:44,2021-08-11
11,김영우마취통증의학과의원,9,0,0,2.3km,경기 안양시 만안구 안양로 97,10:16:09,2021-08-11
12,김영우마취통증의학과의원,8,0,0,2.3km,경기 안양시 만안구 안양로 97,10:19:14,2021-08-11
13,홍기영내과의원,8,0,0,1.0km,경기 군포시,10:20:35,2021-08-11
14,더샵조은의원,0,1,0,3.3km,경기 안양시 동안구,10:21:13,2021-08-11
15,김영우마취통증의학과의원,6,0,0,2.3km,경기 안양시 만안구 안양로 97,12:10:02,2021-08-11
16,백내과의원,5,0,0,3.4km,경기 안양시 동안구,12:10:02,2021-08-11
17,산본연세내과의원,3,0,0,1.0km,경기 군포시,12:10:02,2021-08-11
18,산본제일의원,2,0,0,1.5km,경기 군포시,12:10:02,2021-08-11
19,산본가정의학과의원,0,5,0,1.2km,경기 군포시 고산로677번길 40 2층,12:38:12,2021-08-11
20,서울굿모닝내과의원,9,0,0,1.9km,경기 군포시,14:05:15,2021-08-11
21,오내과의원,9,0,0,3.3km,경기 안양시 동안구 흥안대로 127,14:05:15,2021-08-11
22,김현철내과,1,0,0,2.9km,경기 군포시 고산로 248,14:05:15,2021-08-11
23,홍기영내과의원,8,1,0,1.0km,경기 군포시,14:11:17,2021-08-11
24,장성원이비인후과의원,0,2,0,1.1km,경기 군포시,14:13:54,2021-08-11
25,군포열린의원,0,2,0,2.5km,경기 군포시,14:21:14,2021-08-11
26,연세속시원의원,0,2,0,1.3km,경기 군포시 번영로 502 역사상가,14:26:56,2021-08-11
27,국제나은병원,1,0,0,3.1km,경기 안양시 만안구,14:29:04,2021-08-11
28,의료법인 토마스의료재단 안양윌스기념병원,7,0,0,3.3km,경기 안양시 동안구,14:32:54,2021-08-11
29,장태종내과의원,2,0,0,770m,경기 군포시,15:31:39,2021-08-11
30,고려가정의학과의원,0,3,0,2.4km,경기 군포시,15:44:09,2021-08-11
31,군포정형외과의원,2,0,0,2.6km,경기 군포시,15:55:34,2021-08-11
32,천내과의원,6,0,0,2.6km,경기 군포시 군포로 494,15:57:00,2021-08-11
33,천내과의원,5,0,0,2.6km,경기 군포시 군포로 494,15:58:02,2021-08-11
34,천내과의원,5,2,0,2.6km,경기 군포시 군포로 494,15:58:33,2021-08-11
35,천내과의원,4,0,0,2.6km,경기 군포시 군포로 494,17:00:47,2021-08-11
36,천내과의원,3,0,0,2.6km,경기 군포시 군포로 494,17:24:21,2021-08-11
