,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,늘푸른소아과의원,0,3,0,1.9km,경기 군포시 군포로 494,9:07:59,2021-08-13
1,연세삼성의원,10,3,0,3.6km,경기 안양시 동안구,9:20:36,2021-08-13
2,연세삼성의원,10,0,0,3.6km,경기 안양시 동안구,9:20:42,2021-08-13
3,좋은숨김휘정내과의원,0,3,0,600m,경기 군포시,9:29:53,2021-08-13
4,하늘소아청소년과의원,0,4,0,2.4km,경기 군포시 삼성로 6 웅신프라자,9:30:53,2021-08-13
5,하늘소아청소년과의원,0,2,0,2.4km,경기 군포시 삼성로 6 웅신프라자,9:31:00,2021-08-13
6,참이비인후과의원,3,0,0,1.5km,경기 군포시,9:53:04,2021-08-13
7,삼성하나의원,2,0,0,3.1km,경기 안양시 만안구,9:53:04,2021-08-13
8,중앙신경외과의원,3,4,0,800m,경기 군포시,10:08:39,2021-08-13
9,중앙신경외과의원,3,0,0,800m,경기 군포시,10:08:44,2021-08-13
10,하늘소아청소년과의원,9,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,10:13:02,2021-08-13
11,코앤이비인후과의원,7,0,0,2.4km,경기 안양시 만안구,10:14:15,2021-08-13
12,코앤이비인후과의원,6,0,0,2.4km,경기 안양시 만안구,10:48:33,2021-08-13
13,전소아과의원,2,0,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,10:48:33,2021-08-13
14,연세우리소아과의원,1,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,10:48:33,2021-08-13
15,참조은가정의원,0,5,0,3.4km,경기 군포시,11:00:20,2021-08-13
16,참조은가정의원,0,1,0,3.4km,경기 군포시,11:00:25,2021-08-13
17,고려연합의원,3,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,11:01:13,2021-08-13
18,하늘소아청소년과의원,8,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,11:05:48,2021-08-13
19,연세우리소아과의원,1,2,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,11:19:29,2021-08-13
20,드림의원,0,2,0,3.2km,경기 안양시 만안구,11:24:37,2021-08-13
21,연세선내과의원,0,3,0,1.4km,경기 군포시,11:57:36,2021-08-13
22,산본제일의원,3,0,0,1.5km,경기 군포시,11:57:36,2021-08-13
23,좋은숨김휘정내과의원,1,0,0,1.1km,경기 군포시,11:57:36,2021-08-13
24,전소아과의원,1,0,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,11:57:36,2021-08-13
25,연세선내과의원,0,2,0,1.4km,경기 군포시,11:57:42,2021-08-13
26,고려연합의원,2,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,12:01:16,2021-08-13
27,서울굿모닝내과의원,7,0,0,1.9km,경기 군포시,13:02:48,2021-08-13
28,산본가정의학과의원,4,2,0,1.2km,경기 군포시 고산로677번길 40 2층,13:02:48,2021-08-13
29,하나영상의학과,5,0,0,3.3km,경기 안양시 동안구,13:02:48,2021-08-13
30,현대중앙의원,4,0,0,800m,경기 군포시,13:02:48,2021-08-13
31,해맑은소아청소년과의원,1,0,0,3.3km,경기 안양시 만안구,13:02:48,2021-08-13
32,산본가정의학과의원,4,0,0,1.2km,경기 군포시 고산로677번길 40 2층,13:02:54,2021-08-13
33,하나영상의학과,4,0,0,3.3km,경기 안양시 동안구,13:10:51,2021-08-13
34,서울굿모닝내과의원,6,0,0,1.9km,경기 군포시,13:19:42,2021-08-13
35,산본제일의원,3,3,0,1.5km,경기 군포시,13:22:26,2021-08-13
36,더건강한내과의원,7,0,0,1.1km,경기 군포시,13:47:15,2021-08-13
37,연세조은내과의원,2,0,0,3.3km,경기 안양시 동안구 경수대로 557,14:01:44,2021-08-13
38,연세조은내과의원,1,0,0,3.3km,경기 안양시 동안구 경수대로 557,14:01:58,2021-08-13
39,김현철내과,0,5,0,2.9km,경기 군포시 고산로 248,14:13:10,2021-08-13
40,삼성조은내과의원,0,1,0,1.4km,경기 군포시,14:16:59,2021-08-13
41,백내과의원,0,1,0,3.4km,경기 안양시 동안구,14:19:07,2021-08-13
42,드림의원,0,4,0,3.2km,경기 안양시 만안구,14:22:21,2021-08-13
43,연세코웰이비인후과의원,0,4,0,1.0km,경기 군포시,14:23:00,2021-08-13
44,연세코웰이비인후과의원,0,2,0,1.0km,경기 군포시,14:23:05,2021-08-13
45,미소이비인후과의원,2,0,0,1.5km,경기 군포시,14:28:58,2021-08-13
46,김영환소아과의원,1,0,0,1.3km,경기 군포시,14:37:20,2021-08-13
47,서울굿모닝내과의원,5,0,0,1.9km,경기 군포시,14:42:30,2021-08-13
48,산본외과,0,6,0,1.7km,경기 군포시,14:48:12,2021-08-13
49,미소이비인후과의원,1,0,0,1.5km,경기 군포시,14:50:24,2021-08-13
50,의료법인원천의료재단중화의원,3,0,0,3.3km,경기 안양시 만안구 관악대로 8 중화한방병원,14:55:38,2021-08-13
51,좋은숨김휘정내과의원,1,2,0,1.1km,경기 군포시,14:57:05,2021-08-13
52,정내과의원,1,2,0,1.7km,경기 군포시 금산로22번길 6,14:58:14,2021-08-13
53,정내과의원,1,0,0,1.7km,경기 군포시 금산로22번길 6,14:58:24,2021-08-13
54,더샵조은의원,11,0,0,3.3km,경기 안양시 동안구,14:59:45,2021-08-13
55,좋은가정의학과의원,8,0,0,440m,경기 군포시,15:03:15,2021-08-13
56,하늘소아청소년과의원,8,1,0,3.4km,경기 군포시 삼성로 6 웅신프라자,15:06:34,2021-08-13
57,국제나은병원,5,0,0,3.1km,경기 안양시 만안구,15:09:43,2021-08-13
58,상쾌한이비인후과의원,0,2,0,1.5km,경기 군포시,15:11:51,2021-08-13
59,국제나은병원,4,0,0,3.1km,경기 안양시 만안구,15:23:30,2021-08-13
60,김성근내과의원,3,0,0,860m,경기 군포시 광정로 80,15:23:30,2021-08-13
61,맑은샘이비인후과의원,2,0,0,2.9km,경기 군포시,15:23:30,2021-08-13
62,새론정형외과의원,2,0,0,2.7km,경기 군포시,15:24:31,2021-08-13
63,고려가정의학과의원,0,2,0,2.4km,경기 군포시,15:25:00,2021-08-13
64,의료법인 토마스의료재단 안양윌스기념병원,7,1,0,3.3km,경기 안양시 동안구,15:25:58,2021-08-13
65,의료법인 토마스의료재단 안양윌스기념병원,7,0,0,3.3km,경기 안양시 동안구,15:26:03,2021-08-13
66,원광대학교의과대학산본병원,4,0,0,1.2km,경기 군포시,15:26:44,2021-08-13
67,국제나은병원,3,0,0,3.1km,경기 안양시 만안구,15:41:00,2021-08-13
68,현대중앙의원,4,1,0,800m,경기 군포시,15:43:35,2021-08-13
69,고려연합의원,1,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,15:45:36,2021-08-13
70,김영우마취통증의학과의원,2,0,0,2.3km,경기 안양시 만안구 안양로 97,15:49:16,2021-08-13
71,국제나은병원,2,0,0,3.1km,경기 안양시 만안구,15:50:36,2021-08-13
72,맑은샘이비인후과의원,2,1,0,2.9km,경기 군포시,15:54:30,2021-08-13
73,박정영내과의원,1,0,0,3.0km,경기 안양시 동안구,16:00:03,2021-08-13
74,장성원이비인후과의원,6,0,0,1.1km,경기 군포시,16:32:32,2021-08-13
75,김현철내과,5,0,0,2.9km,경기 군포시 고산로 248,16:32:32,2021-08-13
76,연세속시원의원,4,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:32:32,2021-08-13
77,김성근내과의원,2,0,0,860m,경기 군포시 광정로 80,16:32:32,2021-08-13
78,맑은샘이비인후과의원,1,0,0,2.9km,경기 군포시,16:32:32,2021-08-13
79,고려가정의학과의원,1,0,0,2.4km,경기 군포시,16:40:21,2021-08-13
80,고려가정의학과의원,1,1,0,2.4km,경기 군포시,16:45:46,2021-08-13
81,김성수아르코이비인후과의원,0,1,0,3.2km,경기 안양시 동안구,16:55:32,2021-08-13
82,김성근내과의원,1,0,0,860m,경기 군포시 광정로 80,17:02:36,2021-08-13
83,참이비인후과의원,2,0,0,1.5km,경기 군포시,17:38:38,2021-08-13
