,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,연세코웰이비인후과의원,0,5,0,1.0km,경기 군포시,14:09:03,2021-08-03
1,드림연합소아청소년과의원,0,5,0,1.2km,경기 군포시,14:10:03,2021-08-03
2,서국원내과의원,0,1,0,3.3km,경기 안양시 동안구 경수대로 564,14:20:38,2021-08-03
3,남천병원,0,2,0,360m,경기 군포시,15:27:48,2021-08-03
4,산본연세소아청소년과의원,0,2,0,600m,경기 군포시,14:23:45,2021-08-04
5,153연세연합의원,0,1,0,2.6km,경기 안양시 만안구,15:38:20,2021-08-04
6,늘푸른소아과의원,10,0,0,2.6km,경기 군포시 군포로 494,10:02:26,2021-08-09
7,참이비인후과의원,8,0,0,1.5km,경기 군포시,10:02:26,2021-08-09
8,더샵조은의원,8,0,0,3.3km,경기 안양시 동안구,10:02:26,2021-08-09
9,하늘소아청소년과의원,6,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,10:02:26,2021-08-09
10,해맑은소아청소년과의원,4,0,0,3.3km,경기 안양시 만안구,10:02:26,2021-08-09
11,하늘소아청소년과의원,5,0,0,3.4km,경기 군포시 삼성로 6 웅신프라자,10:02:29,2021-08-09
12,코앤이비인후과의원,9,3,0,2.4km,경기 안양시 만안구,10:03:09,2021-08-09
13,코앤이비인후과의원,9,0,0,2.4km,경기 안양시 만안구,10:03:16,2021-08-09
14,코앤이비인후과의원,8,0,0,2.4km,경기 안양시 만안구,10:03:49,2021-08-09
15,드림연합소아청소년과의원,0,2,0,1.2km,경기 군포시,10:03:51,2021-08-09
16,새론정형외과의원,10,0,0,2.7km,경기 군포시,10:11:17,2021-08-09
17,엘키즈의원,0,2,0,880m,경기 군포시,10:17:57,2021-08-09
18,참이비인후과의원,7,0,0,1.5km,경기 군포시,10:21:25,2021-08-09
19,김영환소아과의원,0,6,0,1.3km,경기 군포시,10:29:58,2021-08-09
20,사랑이가득한소아과의원,0,2,0,1.5km,경기 군포시,10:37:08,2021-08-09
21,연세코웰이비인후과의원,9,0,0,1.0km,경기 군포시,10:44:26,2021-08-09
22,참이비인후과의원,6,0,0,1.5km,경기 군포시,10:44:26,2021-08-09
23,연세코웰이비인후과의원,8,0,0,1.0km,경기 군포시,10:49:34,2021-08-09
24,더샵조은의원,7,0,0,3.3km,경기 안양시 동안구,10:49:34,2021-08-09
25,고려연합의원,2,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,11:05:48,2021-08-09
26,김성근내과의원,1,0,0,860m,경기 군포시 광정로 80,11:05:48,2021-08-09
27,오내과의원,2,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:14:13,2021-08-09
28,고려연합의원,1,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,11:14:13,2021-08-09
29,류동균내과의원,3,0,0,3.4km,경기 안양시 만안구 장내로 86,11:15:54,2021-08-09
30,속조아내과의원,9,0,0,3.3km,경기 안양시 동안구,11:22:44,2021-08-09
31,속조아내과의원,8,0,0,3.3km,경기 안양시 동안구,11:23:26,2021-08-09
32,서울가정의학과의원,0,4,0,3.3km,경기 안양시 동안구,11:23:36,2021-08-09
33,오내과의원,1,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:24:49,2021-08-09
34,참이비인후과의원,6,2,0,1.5km,경기 군포시,11:29:35,2021-08-09
35,중앙신경외과의원,0,1,0,800m,경기 군포시,11:29:55,2021-08-09
36,새서울정형외과의원,0,4,0,3.3km,경기 안양시 동안구,11:30:00,2021-08-09
37,현대중앙의원,0,5,0,800m,경기 군포시,11:34:50,2021-08-09
38,산본가정의학과의원,8,0,0,1.2km,경기 군포시 고산로677번길 40 2층,11:51:50,2021-08-09
39,산본가정의학과의원,7,0,0,1.2km,경기 군포시 고산로677번길 40 2층,12:07:32,2021-08-09
40,연세선내과의원,7,0,0,1.4km,경기 군포시,12:07:32,2021-08-09
41,연세우리소아과의원,6,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,12:07:32,2021-08-09
42,참이비인후과의원,5,0,0,1.5km,경기 군포시,12:07:32,2021-08-09
43,정인교내과의원,5,0,0,3.5km,경기 안양시 만안구 병목안로 69 성원아파트 상가동,12:07:32,2021-08-09
44,하나영상의학과,0,1,0,3.3km,경기 안양시 동안구,12:08:15,2021-08-09
45,두리이비인후과의원,11,0,0,730m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,12:13:02,2021-08-09
46,늘푸른소아과의원,10,1,0,2.6km,경기 군포시 군포로 494,12:15:15,2021-08-09
47,늘푸른소아과의원,9,0,0,2.6km,경기 군포시 군포로 494,12:15:44,2021-08-09
48,준내과의원,8,0,0,2.9km,경기 군포시,12:17:01,2021-08-09
49,현대중앙의원,11,0,0,800m,경기 군포시,12:19:35,2021-08-09
50,늘푸른소아과의원,8,0,0,2.6km,경기 군포시 군포로 494,12:22:32,2021-08-09
51,현대중앙의원,10,0,0,800m,경기 군포시,12:26:14,2021-08-09
52,박정민신경과의원,0,2,0,1.0km,경기 군포시,12:32:42,2021-08-09
53,속조아내과의원,7,0,0,3.3km,경기 안양시 동안구,12:33:52,2021-08-09
54,연세선내과의원,6,0,0,1.4km,경기 군포시,12:36:11,2021-08-09
55,산본외과,11,3,0,1.7km,경기 군포시,12:37:06,2021-08-09
56,산본외과,11,0,0,1.7km,경기 군포시,12:37:11,2021-08-09
57,산본외과,10,0,0,1.7km,경기 군포시,12:39:10,2021-08-09
58,연세코웰이비인후과의원,7,0,0,1.0km,경기 군포시,12:39:52,2021-08-09
59,연세코웰이비인후과의원,6,0,0,1.0km,경기 군포시,13:02:21,2021-08-09
60,오내과의원,4,0,0,1.3km,경기 군포시 번영로 502 역사상가,13:02:47,2021-08-09
61,류동균내과의원,2,0,0,3.4km,경기 안양시 만안구 장내로 86,13:04:14,2021-08-09
62,오내과의원,3,0,0,1.3km,경기 군포시 번영로 502 역사상가,13:06:01,2021-08-09
63,산본외과,9,0,0,1.7km,경기 군포시,13:38:28,2021-08-09
64,연세우리소아과의원,5,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,13:48:55,2021-08-09
65,삼성조은내과의원,2,0,0,1.4km,경기 군포시,13:48:55,2021-08-09
66,연세조은내과의원,10,0,0,3.3km,경기 안양시 동안구 경수대로 557,14:07:49,2021-08-09
67,산본외과,8,0,0,1.7km,경기 군포시,14:07:49,2021-08-09
68,서울굿모닝내과의원,6,0,0,1.9km,경기 군포시,14:07:49,2021-08-09
69,미소이비인후과의원,9,0,0,1.5km,경기 군포시,14:14:18,2021-08-09
70,연세조은내과의원,9,0,0,3.3km,경기 안양시 동안구 경수대로 557,14:14:18,2021-08-09
71,삼성조은내과의원,1,0,0,1.4km,경기 군포시,14:15:34,2021-08-09
72,연세우리소아과의원,4,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,14:16:25,2021-08-09
73,장이비인후과의원,5,0,0,2.5km,경기 군포시,14:23:12,2021-08-09
74,장이비인후과의원,4,0,0,2.5km,경기 군포시,14:24:30,2021-08-09
75,김경중내과의원,3,0,0,1.5km,경기 군포시 금산로 102,14:29:22,2021-08-09
76,장이비인후과의원,3,0,0,2.5km,경기 군포시,14:29:46,2021-08-09
77,장성원이비인후과의원,9,0,0,1.1km,경기 군포시,14:30:44,2021-08-09
78,장성원이비인후과의원,8,0,0,1.1km,경기 군포시,14:30:49,2021-08-09
79,장성원이비인후과의원,7,0,0,1.1km,경기 군포시,14:33:36,2021-08-09
80,산본외과,7,0,0,1.7km,경기 군포시,14:38:35,2021-08-09
81,코앤이비인후과의원,7,0,0,2.4km,경기 안양시 만안구,14:42:16,2021-08-09
82,장이비인후과의원,2,0,0,2.5km,경기 군포시,14:42:16,2021-08-09
83,산본연세내과의원,2,0,0,1.0km,경기 군포시,14:51:32,2021-08-09
84,고려연합의원,2,5,0,3.4km,경기 안양시 만안구 장내로 83 2층,14:54:22,2021-08-09
85,두리이비인후과의원,10,0,0,730m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,14:59:46,2021-08-09
86,황가정의학과의원,5,0,0,1.8km,경기 군포시,14:59:46,2021-08-09
87,현대중앙의원,9,0,0,800m,경기 군포시,15:02:44,2021-08-09
88,김영환소아과의원,1,0,0,1.3km,경기 군포시,15:02:44,2021-08-09
89,연세조은내과의원,8,0,0,3.3km,경기 안양시 동안구 경수대로 557,15:05:36,2021-08-09
90,새론정형외과의원,9,0,0,2.7km,경기 군포시,15:13:02,2021-08-09
91,김영우마취통증의학과의원,1,0,0,2.3km,경기 안양시 만안구 안양로 97,15:13:02,2021-08-09
92,두리이비인후과의원,9,0,0,730m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,15:13:48,2021-08-09
93,새서울정형외과의원,0,1,0,3.3km,경기 안양시 동안구,15:16:54,2021-08-09
94,산본연세내과의원,1,0,0,1.0km,경기 군포시,15:19:28,2021-08-09
95,홍기영내과의원,7,0,0,1.0km,경기 군포시,15:20:25,2021-08-09
96,홍기영내과의원,6,0,0,1.0km,경기 군포시,15:22:48,2021-08-09
97,김현철내과,8,1,0,2.9km,경기 군포시 고산로 248,15:23:50,2021-08-09
98,김현철내과,8,0,0,2.9km,경기 군포시 고산로 248,15:23:55,2021-08-09
99,김현철내과,7,0,0,2.9km,경기 군포시 고산로 248,15:25:05,2021-08-09
100,김영우마취통증의학과의원,2,0,0,2.3km,경기 안양시 만안구 안양로 97,15:33:02,2021-08-09
101,준내과의원,7,0,0,2.9km,경기 군포시,15:37:43,2021-08-09
102,김현철내과,6,0,0,2.9km,경기 군포시 고산로 248,15:43:20,2021-08-09
103,국제나은병원,2,0,0,3.1km,경기 안양시 만안구,15:46:18,2021-08-09
104,두리이비인후과의원,8,0,0,730m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,15:46:44,2021-08-09
105,국제나은병원,1,0,0,3.1km,경기 안양시 만안구,15:47:11,2021-08-09
106,늘푸른소아과의원,7,0,0,2.6km,경기 군포시 군포로 494,16:14:41,2021-08-09
107,장성원이비인후과의원,6,0,0,1.1km,경기 군포시,16:14:41,2021-08-09
108,연세속시원의원,5,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:14:41,2021-08-09
109,코앤이비인후과의원,6,0,0,2.4km,경기 안양시 만안구,16:18:25,2021-08-09
110,연세속시원의원,4,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:19:48,2021-08-09
111,김성수아르코이비인후과의원,1,0,0,3.2km,경기 안양시 동안구,16:29:50,2021-08-09
112,연세속시원의원,3,0,0,1.3km,경기 군포시 번영로 502 역사상가,16:34:56,2021-08-09
113,고려가정의학과의원,0,2,0,2.4km,경기 군포시,16:57:16,2021-08-09
114,장이비인후과의원,1,0,0,2.5km,경기 군포시,16:59:15,2021-08-09
115,연세우리소아과의원,3,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,17:18:59,2021-08-09
116,연세속시원의원,2,0,0,1.3km,경기 군포시 번영로 502 역사상가,17:20:29,2021-08-09
117,늘푸른소아과의원,6,0,0,2.6km,경기 군포시 군포로 494,17:41:09,2021-08-09
118,늘푸른소아과의원,5,0,0,2.6km,경기 군포시 군포로 494,18:03:18,2021-08-09
119,홍기영내과의원,9,0,0,510m,경기 군포시,10:43:24,2021-08-10
120,현대중앙의원,8,0,0,190m,경기 군포시,10:43:24,2021-08-10
121,금정성심의원,8,0,0,2.2km,경기 군포시,10:43:24,2021-08-10
122,대야미중앙의원,6,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,10:43:24,2021-08-10
123,대야미중앙의원,6,0,2,3.3km,경기 군포시 대야1로22번길 3 현대프라자,10:57:47,2021-08-10
124,대야미중앙의원,5,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,11:01:06,2021-08-10
125,산본제일의원,8,0,0,1.9km,경기 군포시,11:01:16,2021-08-10
126,속조아내과의원,9,0,0,3.4km,경기 안양시 동안구,11:07:32,2021-08-10
127,코앤이비인후과의원,0,6,0,3.2km,경기 안양시 만안구,11:12:48,2021-08-10
128,코앤이비인후과의원,0,1,0,3.2km,경기 안양시 만안구,11:12:53,2021-08-10
129,전소아과의원,5,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:16:15,2021-08-10
130,서국원내과의원,0,2,0,3.4km,경기 안양시 동안구 경수대로 564,11:17:37,2021-08-10
131,전소아과의원,4,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:28:57,2021-08-10
132,김영우마취통증의학과의원,3,0,0,3.1km,경기 안양시 만안구 안양로 97,11:28:57,2021-08-10
133,하늘빛재활의학병원,11,0,0,3.0km,경기 안양시 동안구,11:46:57,2021-08-10
134,전소아과의원,3,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,11:46:57,2021-08-10
135,홍기영내과의원,8,0,0,510m,경기 군포시,11:54:31,2021-08-10
136,김성근내과의원,5,0,0,510m,경기 군포시 광정로 80,11:54:31,2021-08-10
137,서울굿모닝내과의원,9,2,0,2.2km,경기 군포시,12:03:18,2021-08-10
138,서울굿모닝내과의원,9,0,0,2.2km,경기 군포시,12:03:23,2021-08-10
139,김성근내과의원,4,0,0,510m,경기 군포시 광정로 80,12:06:01,2021-08-10
140,좋은숨김휘정내과의원,6,0,0,600m,경기 군포시,12:08:47,2021-08-10
141,새서울정형외과의원,0,3,0,3.3km,경기 안양시 동안구,12:12:06,2021-08-10
142,하나영상의학과,0,3,0,3.3km,경기 안양시 동안구,12:14:56,2021-08-10
143,군포열린의원,0,3,0,1.8km,경기 군포시,12:17:02,2021-08-10
144,산본제일의원,7,0,0,1.9km,경기 군포시,12:19:22,2021-08-10
145,산본제일의원,6,0,0,1.9km,경기 군포시,12:49:13,2021-08-10
146,김성근내과의원,3,0,0,510m,경기 군포시 광정로 80,12:49:13,2021-08-10
147,홍기영내과의원,7,0,0,510m,경기 군포시,12:54:45,2021-08-10
148,서울굿모닝내과의원,8,0,0,2.2km,경기 군포시,13:04:07,2021-08-10
149,연세코웰이비인후과의원,0,4,0,570m,경기 군포시,13:05:47,2021-08-10
150,대야미중앙의원,4,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,13:07:08,2021-08-10
151,금정성심의원,7,0,0,2.2km,경기 군포시,13:19:06,2021-08-10
152,서울굿모닝내과의원,7,0,0,2.2km,경기 군포시,13:23:10,2021-08-10
153,남천병원,4,0,0,860m,경기 군포시,13:48:53,2021-08-10
154,의료법인 토마스의료재단 안양윌스기념병원,9,0,0,3.4km,경기 안양시 동안구,13:52:53,2021-08-10
155,홍기영내과의원,6,0,0,510m,경기 군포시,13:52:53,2021-08-10
156,김현철내과,6,0,0,2.1km,경기 군포시 고산로 248,13:52:53,2021-08-10
157,전소아과의원,2,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,13:54:49,2021-08-10
158,산본제일의원,6,2,0,1.9km,경기 군포시,13:57:28,2021-08-10
159,더샵조은의원,0,6,0,3.5km,경기 안양시 동안구,13:58:40,2021-08-10
160,전소아과의원,1,0,0,2.1km,경기 군포시 용호2로 33 한우리교육문화센타,13:58:43,2021-08-10
161,연세삼성의원,0,2,0,3.6km,경기 안양시 동안구,14:00:44,2021-08-10
162,연세삼성의원,0,1,0,3.6km,경기 안양시 동안구,14:00:49,2021-08-10
163,연세코웰이비인후과의원,0,2,0,570m,경기 군포시,14:07:22,2021-08-10
164,산본연세내과의원,3,0,0,680m,경기 군포시,14:07:57,2021-08-10
165,우리들내과의원,0,5,0,3.7km,경기 의왕시,14:09:04,2021-08-10
166,김현철내과,5,0,0,2.1km,경기 군포시 고산로 248,14:10:11,2021-08-10
167,속조아내과의원,8,0,0,3.4km,경기 안양시 동안구,14:14:46,2021-08-10
168,세린이비인후과의원,0,3,0,1.1km,경기 군포시,14:16:55,2021-08-10
169,미소이비인후과의원,0,4,0,590m,경기 군포시,14:21:20,2021-08-10
170,미래이비인후과의원,11,0,0,3.7km,경기 의왕시,14:55:00,2021-08-10
171,오내과의원,8,0,0,3.3km,경기 안양시 동안구 흥안대로 127,14:55:00,2021-08-10
172,속조아내과의원,7,0,0,3.4km,경기 안양시 동안구,14:55:00,2021-08-10
173,김경중내과의원,6,0,0,1.9km,경기 군포시 금산로 102,14:55:00,2021-08-10
174,좋은숨김휘정내과의원,5,0,0,600m,경기 군포시,14:55:00,2021-08-10
175,더건강한내과의원,3,0,0,650m,경기 군포시,14:59:13,2021-08-10
176,두리이비인후과의원,0,1,0,480m,경기 군포시 산본천로 43-6 솔거(대림)스포츠센터,15:03:48,2021-08-10
177,대야미중앙의원,3,0,0,3.3km,경기 군포시 대야1로22번길 3 현대프라자,15:07:35,2021-08-10
178,김영우마취통증의학과의원,3,3,0,3.1km,경기 안양시 만안구 안양로 97,15:07:46,2021-08-10
179,더건강한내과의원,3,3,0,650m,경기 군포시,15:07:56,2021-08-10
180,더건강한내과의원,2,0,0,650m,경기 군포시,15:12:07,2021-08-10
181,오내과의원,7,0,0,3.3km,경기 안양시 동안구 흥안대로 127,15:16:16,2021-08-10
182,천내과의원,2,0,0,1.9km,경기 군포시 군포로 494,15:19:06,2021-08-10
183,천내과의원,1,0,0,1.9km,경기 군포시 군포로 494,15:19:51,2021-08-10
184,속조아내과의원,6,0,0,3.4km,경기 안양시 동안구,15:20:10,2021-08-10
185,오내과의원,5,0,0,3.3km,경기 안양시 동안구 흥안대로 127,15:34:54,2021-08-10
186,더건강한내과의원,1,0,0,650m,경기 군포시,15:58:15,2021-08-10
187,산본연세내과의원,3,1,0,680m,경기 군포시,15:58:51,2021-08-10
188,연세속시원의원,0,6,0,700m,경기 군포시 번영로 502 역사상가,16:11:14,2021-08-10
189,맑은샘이비인후과의원,0,1,0,2.0km,경기 군포시,16:14:07,2021-08-10
190,고려가정의학과의원,0,2,0,1.9km,경기 군포시,16:15:02,2021-08-10
191,금정성심의원,6,0,0,2.0km,경기 군포시,9:16:49,2021-08-11
192,현대중앙의원,0,1,0,800m,경기 군포시,9:30:07,2021-08-11
193,고려연합의원,6,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:34:20,2021-08-11
194,고려연합의원,4,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:36:41,2021-08-11
195,참이비인후과의원,0,3,0,1.5km,경기 군포시,9:44:05,2021-08-11
196,고려연합의원,3,0,0,3.4km,경기 안양시 만안구 장내로 83 2층,9:44:05,2021-08-11
197,홍기영내과의원,10,0,0,1.0km,경기 군포시,10:06:32,2021-08-11
198,금정성심의원,5,0,0,2.0km,경기 군포시,10:06:32,2021-08-11
199,산본외과,11,4,0,1.7km,경기 군포시,10:08:55,2021-08-11
200,산본외과,11,0,0,1.7km,경기 군포시,10:09:01,2021-08-11
201,홍기영내과의원,9,0,0,1.0km,경기 군포시,10:11:44,2021-08-11
202,김영우마취통증의학과의원,9,0,0,2.3km,경기 안양시 만안구 안양로 97,10:16:09,2021-08-11
203,김영우마취통증의학과의원,8,0,0,2.3km,경기 안양시 만안구 안양로 97,10:19:14,2021-08-11
204,홍기영내과의원,8,0,0,1.0km,경기 군포시,10:20:35,2021-08-11
205,더샵조은의원,0,1,0,3.3km,경기 안양시 동안구,10:21:13,2021-08-11
206,김영우마취통증의학과의원,6,0,0,2.3km,경기 안양시 만안구 안양로 97,12:10:02,2021-08-11
207,백내과의원,5,0,0,3.4km,경기 안양시 동안구,12:10:02,2021-08-11
208,산본연세내과의원,3,0,0,1.0km,경기 군포시,12:10:02,2021-08-11
209,산본제일의원,2,0,0,1.5km,경기 군포시,12:10:02,2021-08-11
210,산본가정의학과의원,0,5,0,1.2km,경기 군포시 고산로677번길 40 2층,12:38:12,2021-08-11
211,서울굿모닝내과의원,9,0,0,1.9km,경기 군포시,14:05:15,2021-08-11
212,오내과의원,9,0,0,3.3km,경기 안양시 동안구 흥안대로 127,14:05:15,2021-08-11
213,김현철내과,1,0,0,2.9km,경기 군포시 고산로 248,14:05:15,2021-08-11
214,홍기영내과의원,8,1,0,1.0km,경기 군포시,14:11:17,2021-08-11
215,장성원이비인후과의원,0,2,0,1.1km,경기 군포시,14:13:54,2021-08-11
216,군포열린의원,0,2,0,2.5km,경기 군포시,14:21:14,2021-08-11
217,연세속시원의원,0,2,0,1.3km,경기 군포시 번영로 502 역사상가,14:26:56,2021-08-11
218,국제나은병원,1,0,0,3.1km,경기 안양시 만안구,14:29:04,2021-08-11
219,의료법인 토마스의료재단 안양윌스기념병원,7,0,0,3.3km,경기 안양시 동안구,14:32:54,2021-08-11
220,장태종내과의원,2,0,0,770m,경기 군포시,15:31:39,2021-08-11
221,고려가정의학과의원,0,3,0,2.4km,경기 군포시,15:44:09,2021-08-11
222,군포정형외과의원,2,0,0,2.6km,경기 군포시,15:55:34,2021-08-11
223,천내과의원,6,0,0,2.6km,경기 군포시 군포로 494,15:57:00,2021-08-11
224,천내과의원,5,0,0,2.6km,경기 군포시 군포로 494,15:58:02,2021-08-11
225,천내과의원,5,2,0,2.6km,경기 군포시 군포로 494,15:58:33,2021-08-11
226,천내과의원,4,0,0,2.6km,경기 군포시 군포로 494,17:00:47,2021-08-11
227,천내과의원,3,0,0,2.6km,경기 군포시 군포로 494,17:24:21,2021-08-11
228,늘푸른소아과의원,5,0,0,1.9km,경기 군포시 군포로 494,9:10:21,2021-08-12
229,홍기영내과의원,10,0,0,510m,경기 군포시,9:14:57,2021-08-12
230,연세삼성의원,5,0,0,3.6km,경기 안양시 동안구,9:15:13,2021-08-12
231,참이비인후과의원,5,0,0,1.9km,경기 군포시,9:20:51,2021-08-12
232,중앙신경외과의원,11,0,0,900m,경기 군포시,9:24:17,2021-08-12
233,중앙신경외과의원,10,0,0,800m,경기 군포시,10:38:09,2021-08-12
234,연세우리소아과의원,4,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,10:38:09,2021-08-12
235,해맑은소아청소년과의원,2,0,0,3.3km,경기 안양시 만안구,10:38:09,2021-08-12
236,중앙신경외과의원,9,0,0,800m,경기 군포시,10:47:29,2021-08-12
237,홍기영내과의원,9,0,0,1.0km,경기 군포시,11:03:32,2021-08-12
238,전소아과의원,3,2,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,11:05:49,2021-08-12
239,전소아과의원,3,0,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,11:05:54,2021-08-12
240,수이비인후과의원,5,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:10:22,2021-08-12
